chr	start	end
Path1 : 1	1	248943333
Path2 : 1	1	248943333
Path3 : 2	1	242104846
Path4 : 2	1	236650996
Path5 : 3	1	198178566
Path6 : 3	1	204458309
Path10 : 4	1	190202562
Path8 : 4	1	184687535
Path11 : 5	1	181472714
Path12 : 5	1	181472714
Path13 : 6	1	170739897
Path14 : 6	1	170739897
Path15 : 7	1	159334984
Path16 : 7	1	159334984
Path17 : 8	1	145076125
Path18 : 8	1	145076125
Path19 : 9	1	138334464
Path20 : 9	1	138334464
Path21 : 10	1	133785256
Path22 : 10	1	133785256
Path7 : 11	1	135000201
Path9 : der(11)t(4;11)	1	139771608
Path23 : 12	1	133263960
Path24 : 12	1	133263960
Path25 : 13	1	114352102
Path26 : 13	1	114352102
Path27 : 14	1	106873282
Path28 : 14	1	106873282
Path29 : 15	1	101976507
Path30 : 15	1	101976507
Path31 : 16	1	90224749
Path32 : 16	1	90224749
Path33 : 17	1	83246392
Path34 : 17	1	83246392
Path35 : 18	1	80256370
Path36 : 18	1	80256370
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64333718
Path40 : 20	1	64333718
Path41 : 21	1	41523264
Path42 : 21	1	41523264
Path43 : 21	1	41266556
Path44 : 22	1	50805587
Path45 : 22	1	50805587
Path46 : X	1	156025612
Path47 : Y	1	57212132
