chr	start	end
Path1 : 1	1	248912452
Path2 : 1	1	241020914
Path3 : 2	1	475020229
Path4 : 3	1	198159313
Path5 : 3	1	201115518
Path6 : 4	1	190202564
Path7 : 4	1	190202564
Path11 : der(5)t(5;8)	1	147846757
Path8 : 5	1	181445133
Path14 : 6	1	170649420
Path17 : der(6)t(6;15)	1	150596652
Path12 : 7	1	154559377
Path9 : der(7)t(5;7)	1	164338204
Path10 : 8	1	137058719
Path13 : der(8)t(5;7;8)	1	192359668
Path18 : 9	1	138334464
Path19 : 9	1	138334464
Path20 : 10	1	133785262
Path21 : 10	1	133785262
Path22 : 11	1	134998389
Path23 : 11	1	132827123
Path24 : 12	1	133263960
Path25 : 12	1	133263960
Path26 : 13	1	114352102
Path27 : 13	1	114352102
Path28 : 14	1	106873282
Path29 : 14	1	106873282
Path15 : der(15)t(6;15)	1	132178072
Path16 : 15	1	101976508
Path30 : 16	1	90224751
Path31 : 16	1	90224751
Path32 : 17	1	83246392
Path33 : 17	1	83246392
Path34 : 18	1	80256374
Path35 : 18	1	80256374
Path36 : 19	1	58605715
Path37 : 19	1	58605715
Path38 : 20	1	64225600
Path39 : 20	1	68489107
Path40 : 21	1	46697230
Path41 : 21	1	46697230
Path42 : 22	1	50805587
Path43 : 22	1	50805587
Path44 : X	1	156025612
Path45 : Y	1	57212132
