chr	start	end	original_name	original_stain	band_base	Path	strand	chrom	bp	original_start	original_end	Updated_stain	centromere	iscn	sort_chrom	name	gieStain
Path1 : 1	1	7085548	p36.31	gneg	p36	Path1	+	1	True	5300000	7100000	gneg	0	Path1 : 1	1	p36.3	gneg
Path1 : 1	7085548	15885548	p36.21	gpos50	p36	Path1	+	1	True	12500000	15900000	gneg	0	Path1 : 1	1	p36.2	gpos50
Path1 : 1	15885548	27585548	p36.11	gneg	p36	Path1	+	1	True	23600000	27600000	gneg	0	Path1 : 1	1	p36.1	gneg
Path1 : 1	27585548	34285548	p35.1	gpos25	p35	Path1	+	1	True	32300000	34300000	gpos25	0	Path1 : 1	1	p35	gpos25
Path1 : 1	34285548	39585548	p34.3	gneg	p34	Path1	+	1	True	34300000	39600000	gneg	0	Path1 : 1	1	p34.3	gneg
Path1 : 1	39585548	43685548	p34.2	gpos25	p34	Path1	+	1	True	39600000	43700000	gneg	0	Path1 : 1	1	p34.2	gpos25
Path1 : 1	43685548	46285548	p34.1	gneg	p34	Path1	+	1	True	43700000	46300000	gneg	0	Path1 : 1	1	p34.1	gneg
Path1 : 1	46285548	50183075	p33	gpos75	p33	Path1	+	1	True	47098825	50200000	gpos75	0	Path1 : 1	1	p33	gpos75
Path1 : 1	50183075	60783075	p32.1	gneg	p32	Path1	+	1	True	58500000	60800000	gneg	0	Path1 : 1	1	p32	gneg
Path1 : 1	60783075	84383075	p31.1	gpos100	p31	Path1	+	1	True	69300000	84400000	gpos50	0	Path1 : 1	1	p31	gpos100
Path1 : 1	84383075	94283075	p22.1	gneg	p22	Path1	+	1	True	91500000	94300000	gneg	0	Path1 : 1	1	p22	gneg
Path1 : 1	94283075	106683075	p21.1	gpos100	p21	Path1	+	1	True	101800000	106700000	gpos75	0	Path1 : 1	1	p21	gpos100
Path1 : 1	106683075	117183075	p13.1	gneg	p13	Path1	+	1	True	115500000	117200000	gneg	0	Path1 : 1	1	p13	gneg
Path1 : 1	117183075	120376578	p12	gpos50	p12	Path1	+	1	True	120059309	120400000	gpos50	0	Path1 : 1	1	p12	gpos575
Path1 : 1	120376578	123249975	p11.1	acen	p11	Path1	+	1	True	121734676	123400000	acen	0	Path1 : 1	1	p11	acen
Path1 : 1	123249975	124949975	q11	acen	q11	Path1	+	1	True	123400000	125100000	acen	0	Path1 : 1	1	q11	acen
Path1 : 1	124949975	143049975	q12	gvar	q12	Path1	+	1	True	125100000	143200000	gvar	0	Path1 : 1	1	q12	gpos100
Path1 : 1	143049975	154949975	q21.3	gneg	q21	Path1	+	1	True	150600000	155100000	gneg	0	Path1 : 1	1	q21	gneg
Path1 : 1	154949975	156449975	q22	gpos50	q22	Path1	+	1	True	155100000	156600000	gpos50	0	Path1 : 1	1	q22	gpos25
Path1 : 1	156449975	165349975	q23.3	gneg	q23	Path1	+	1	True	160500000	165500000	gneg	0	Path1 : 1	1	q23	gneg
Path1 : 1	165349975	172849975	q24.3	gpos75	q24	Path1	+	1	True	170900000	173000000	gpos50	0	Path1 : 1	1	q24	gpos50
Path1 : 1	172849975	185649975	q25.3	gneg	q25	Path1	+	1	True	180300000	185800000	gneg	0	Path1 : 1	1	q25	gneg
Path1 : 1	185649975	198549975	q31.3	gpos100	q31	Path1	+	1	True	193800000	198700000	gpos100	0	Path1 : 1	1	q31	gpos100
Path1 : 1	198549975	214249975	q32.3	gneg	q32	Path1	+	1	True	211300000	214400000	gneg	0	Path1 : 1	1	q32	gneg
Path1 : 1	214249975	223749975	q41	gpos100	q41	Path1	+	1	True	214400000	223900000	gpos100	0	Path1 : 1	1	q41	gpos100
Path1 : 1	223749975	236249975	q42.3	gneg	q42	Path1	+	1	True	234600000	236400000	gneg	0	Path1 : 1	1	q42	gneg
Path1 : 1	236249975	243349975	q43	gpos75	q43	Path1	+	1	True	236400000	243500000	gpos75	0	Path1 : 1	1	q43	gpos100
Path1 : 1	243349975	248792295	q44	gneg	q44	Path1	+	1	True	243500000	248942320	gneg	0	Path1 : 1	1	q44	gneg
Path2 : 1	1	7085548	p36.33	gneg	p36	Path2	-	1	True	14453	2300000	gneg	0	Path2 : 1	1	p36.3	gneg
Path2 : 1	7085548	15885548	p36.23	gpos25	p36	Path2	-	1	True	7100000	9100000	gneg	0	Path2 : 1	1	p36.2	gpos50
Path2 : 1	15885548	27585548	p36.13	gneg	p36	Path2	-	1	True	15900000	20100000	gneg	0	Path2 : 1	1	p36.1	gneg
Path2 : 1	27585548	34285548	p35.3	gpos25	p35	Path2	-	1	True	27600000	29900000	gpos25	0	Path2 : 1	1	p35	gpos25
Path2 : 1	34285548	39585548	p34.3	gneg	p34	Path2	-	1	True	34300000	39600000	gneg	0	Path2 : 1	1	p34.3	gneg
Path2 : 1	39585548	43685548	p34.2	gpos25	p34	Path2	-	1	True	39600000	43700000	gneg	0	Path2 : 1	1	p34.2	gpos25
Path2 : 1	43685548	46285548	p34.1	gneg	p34	Path2	-	1	True	43700000	46300000	gneg	0	Path2 : 1	1	p34.1	gneg
Path2 : 1	46285548	50183075	p33	gpos75	p33	Path2	-	1	True	46300000	47096352	gpos75	0	Path2 : 1	1	p33	gpos75
Path2 : 1	50183075	60783075	p32.3	gneg	p32	Path2	-	1	True	50200000	55600000	gneg	0	Path2 : 1	1	p32	gneg
Path2 : 1	60783075	84383075	p31.3	gpos50	p31	Path2	-	1	True	60800000	68500000	gpos100	0	Path2 : 1	1	p31	gpos100
Path2 : 1	84383075	94283075	p22.3	gneg	p22	Path2	-	1	True	84400000	87900000	gneg	0	Path2 : 1	1	p22	gneg
Path2 : 1	94283075	106683075	p21.3	gpos75	p21	Path2	-	1	True	94300000	99300000	gpos100	0	Path2 : 1	1	p21	gpos100
Path2 : 1	106683075	117183075	p13.3	gneg	p13	Path2	-	1	True	106700000	111200000	gneg	0	Path2 : 1	1	p13	gneg
Path2 : 1	117183075	120376578	p12	gpos50	p12	Path2	-	1	True	117200000	120052812	gpos50	0	Path2 : 1	1	p12	gpos575
Path2 : 1	120376578	123249975	p11.2	gneg	p11	Path2	-	1	True	120400000	121608073	acen	0	Path2 : 1	1	p11	acen
Path2 : 1	123249975	124949975	q11	acen	q11	Path2	-	1	True	123400000	125100000	acen	0	Path2 : 1	1	q11	acen
Path2 : 1	124949975	143049975	q12	gvar	q12	Path2	-	1	True	125100000	143200000	gvar	0	Path2 : 1	1	q12	gpos100
Path2 : 1	143049975	154949975	q21.1	gneg	q21	Path2	-	1	True	143200000	147500000	gneg	0	Path2 : 1	1	q21	gneg
Path2 : 1	154949975	156449975	q22	gpos50	q22	Path2	-	1	True	155100000	156600000	gpos50	0	Path2 : 1	1	q22	gpos25
Path2 : 1	156449975	165349975	q23.1	gneg	q23	Path2	-	1	True	156600000	159100000	gneg	0	Path2 : 1	1	q23	gneg
Path2 : 1	165349975	172849975	q24.1	gpos50	q24	Path2	-	1	True	165500000	167200000	gpos75	0	Path2 : 1	1	q24	gpos50
Path2 : 1	172849975	185649975	q25.1	gneg	q25	Path2	-	1	True	173000000	176100000	gneg	0	Path2 : 1	1	q25	gneg
Path2 : 1	185649975	198549975	q31.1	gpos100	q31	Path2	-	1	True	185800000	190800000	gpos100	0	Path2 : 1	1	q31	gpos100
Path2 : 1	198549975	214249975	q32.1	gneg	q32	Path2	-	1	True	198700000	207100000	gneg	0	Path2 : 1	1	q32	gneg
Path2 : 1	214249975	223749975	q41	gpos100	q41	Path2	-	1	True	214400000	223900000	gpos100	0	Path2 : 1	1	q41	gpos100
Path2 : 1	223749975	236249975	q42.11	gneg	q42	Path2	-	1	True	223900000	224400000	gneg	0	Path2 : 1	1	q42	gneg
Path2 : 1	236249975	243349975	q43	gpos75	q43	Path2	-	1	True	236400000	243500000	gpos75	0	Path2 : 1	1	q43	gpos100
