chr	start	end
Path1 : 1	1	248792294
Path2 : 1	1	248792294
Path4 : 2	1	242126924
Path5 : 2	1	246186190
Path6 : 3	1	198183975
Path9 : der(3)t(3;7)	1	216397130
Path10 : 4	1	190202564
Path11 : 4	1	190202564
Path12 : 5	1	181378270
Path14 : 6	1	341273238
Path7 : 7	1	151717734
Path8 : 7	1	274953283
Path15 : 8	1	145076125
Path16 : 8	1	145076125
Path17 : 9	1	138334464
Path18 : 9	1	138334464
Path19 : 10	1	133785264
Path20 : 10	1	133785264
Path21 : 11	1	135069565
Path22 : 11	1	135069565
Path23 : 12	1	133263960
Path24 : 12	1	133263960
Path25 : 13	1	98331921
Path28 : der(13)t(13;16)	1	126728691
Path29 : 14	1	90838347
Path30 : 14	1	93565119
Path31 : 15	1	101976507
Path32 : 15	1	101976507
Path26 : der(16)t(13;16)	1	75165887
Path27 : 16	1	84166579
Path33 : 17	1	83151662
Path34 : 17	1	84422072
Path35 : 18	1	80185151
Path36 : 18	1	86281931
Path37 : 19	1	58605715
Path38 : 19	1	58605715
Path39 : 20	1	64245372
Path40 : 20	1	68557032
Path41 : 21	1	46697230
Path42 : 21	1	46697230
Path43 : 22	1	50805587
Path44 : 22	1	50805587
Path45 : X	1	156025612
Path46 : Y	1	57212132
Path3 : 1	1	121584650
Path13 : 5	1	392410
