(0, 1, 2, 'S')
(1, 2, 0, 'R')
(2, 3, 3, 'S')
(4, 5, 2, 'S')
(5, 6, 0, 'R')
(6, 7, 1, 'S')
(7, 8, 0, 'R')
(9, 8, 2, 'S')
(9, 10, 0, 'R')
(11, 10, 2, 'S')
(11, 12, 0, 'R')
(12, 13, 2, 'S')
(14, 15, 2, 'S')
(16, 17, 2, 'S')
(17, 18, 0, 'R')
(18, 19, 3, 'S')
(21, 20, 2, 'S')
(21, 22, 0, 'R')
(22, 23, 2, 'S')
(23, 24, 0, 'R')
(24, 25, 1, 'S')
(25, 26, 0, 'R')
(26, 27, 2, 'S')
(28, 29, 2, 'S')
(29, 30, 0, 'R')
(31, 30, 3, 'S')
(31, 32, 0, 'R')
(32, 33, 3, 'S')
(33, 34, 0, 'R')
(34, 35, 4, 'S')
(35, 36, 0, 'R')
(37, 36, 2, 'S')
(37, 38, 0, 'R')
(38, 39, 2, 'S')
(41, 40, 2, 'S')
(41, 42, 0, 'R')
(43, 42, 2, 'S')
(43, 44, 0, 'R')
(45, 44, 2, 'S')
(45, 46, 0, 'R')
(47, 46, 2, 'S')
(47, 48, 0, 'R')
(49, 48, 2, 'S')
(49, 50, 0, 'R')
(51, 50, 2, 'S')
(51, 52, 0, 'R')
(52, 53, 2, 'S')
(54, 55, 2, 'S')
(56, 57, 2, 'S')
(59, 58, 2, 'S')
(59, 60, 0, 'R')
(61, 60, 2, 'S')
(61, 62, 0, 'R')
(63, 62, 2, 'S')
(63, 64, 0, 'R')
(65, 64, 2, 'S')
(65, 66, 0, 'R')
(66, 67, 2, 'S')
(68, 69, 2, 'S')
(71, 70, 2, 'S')
(71, 72, 0, 'R')
(72, 73, 2, 'S')
(74, 75, 2, 'S')
(77, 76, 2, 'S')
(77, 78, 0, 'R')
(78, 79, 2, 'S')
(81, 80, 2, 'S')
(81, 82, 0, 'R')
(83, 82, 2, 'S')
(83, 84, 0, 'R')
(84, 85, 2, 'S')
(86, 87, 2, 'S')
(88, 89, 2, 'S')
(90, 91, 2, 'S')
(91, 92, 0, 'R')
(92, 93, 1, 'S')
(93, 94, 0, 'R')
(94, 95, 2, 'S')
(96, 97, 2, 'S')
(98, 99, 2, 'S')
(100, 101, 2, 'S')
(102, 103, 2, 'S')
(104, 105, 1, 'S')
(106, 107, 1, 'S')
(1, 2, 0, 'SV')
(5, 8, 0, 'SV')
(9, 12, 0, 'SV')
(11, 78, 0, 'SV')
(10, 77, 0, 'SV')
(19, 19, 0, 'SV')
(21, 46, 0, 'SV')
(22, 47, 0, 'SV')
(31, 37, 0, 'SV')
(34, 34, 0, 'SV')
(42, 49, 0, 'SV')
(41, 50, 0, 'SV')
(43, 52, 0, 'SV')
(44, 51, 0, 'SV')
(45, 48, 0, 'SV')
(59, 61, 0, 'SV')
(64, 71, 0, 'SV')
(65, 72, 0, 'SV')
(82, 84, 0, 'SV')
(91, 94, 0, 'SV')
