0	[0, 1, 16, 17, 18, 3, 2, 15, 14, 4, 5, 78, 77, 76, 73, 72, 74, 75, 6, 7, 8, 9, 10, 11, 12, 13, 79, 80, 81, 19, 20, 21, 22, 23]
1	[24, 25, 26, 27, 28, 29, 86, 85, 84, 30, 31, 32, 33, 87, 88, 89]
2	[34, 35, 36, 37, 38, 39]
3	[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 57, 56, 55, 58, 59, 54]
4	[52, 53]
5	[60, 61]
6	[62, 63]
7	[64, 65]
8	[66, 67, 68, 69, 70, 71]
9	[82, 83]
10	[90, 91]
11	[92, 93, 94, 95, 96, 97]
12	[98, 99]
13	[100, 101, 102, 103, 104, 105]
14	[106, 107]
15	[108, 109]
16	[110, 111]
17	[112, 113, 114, 115, 116, 117]
18	[118, 119]
19	[120, 121, 122, 123, 124, 125]
