0	1	14454	2	H	[1]
1	1	207385674.0	2	T	[0, 2, 4]
2	1	207385675.0	1	H	[1, 3]
3	1	211552235.0	1	T	[2, 4]
4	1	211552236	2	H	[1, 3, 5]
5	1	248943332	2	T	[4]
6	2	15925.0	2	H	[7]
7	2	87052278.0	2	T	[8, 9, 6]
8	2	87052279.0	2	H	[9, 7]
9	2	87717319.0	2	T	[8, 10, 7]
10	2	87717320.0	2	H	[9, 11]
11	2	94052822.0	2	T	[10, 12]
12	2	94052823.0	1	H	[11, 13]
13	2	187658781.0	1	T	[12, 14]
14	2	187663333.0	1	H	[13, 15]
15	2	188605824.0	1	T	[16, 14]
16	2	188608772.0	1	H	[17, 15]
17	2	241869133.0	1	T	[16, 18]
18	2	241869134	2	H	[17, 19]
19	2	242181356	2	T	[18]
20	3	0.0	2	H	[21]
21	3	29280413.0	2	T	[20, 22, 23]
22	3	29280414.0	2	H	[24, 21, 23]
23	3	32379198.0	2	T	[24, 21, 22]
24	3	32379199.0	2	H	[25, 22, 23]
25	3	198230596.0	2	T	[24]
26	4	0	2	H	[27]
27	4	190202564	2	T	[26]
28	5	19315	2	H	[29]
29	5	25410911.0	2	T	[32, 28, 30]
30	5	25410912.0	1	H	[29, 31]
31	5	32718732.0	1	T	[32, 30]
32	5	32730622.0	2	H	[33, 29, 31]
33	5	181472713.0	2	T	[32]
34	6	76217.0	2	H	[35]
35	6	163785221.0	2	T	[41, 34, 36]
36	6	163785222.0	2	H	[35, 37]
37	6	163876868.0	2	T	[36, 38]
38	6	163876869.0	3	H	[37, 38, 39]
39	6	170070788.0	3	T	[40, 38]
40	6	170070789	2	H	[41, 39]
41	6	170739896	2	T	[40, 35]
42	7	0	2	H	[43]
43	7	159334984	2	T	[42]
44	8	61806.0	2	H	[45]
45	8	128287039.0	2	T	[44, 46]
46	8	128287040.0	2	H	[49, 45, 47]
47	8	128351261.0	2	T	[48, 46]
48	8	128351262.0	3	H	[49, 47]
49	8	137208297.0	3	T	[48, 50, 46]
50	8	137211812.0	2	H	[49, 51]
51	8	145076124.0	2	T	[50]
52	9	0	2	H	[53]
53	9	138334464	2	T	[52]
54	10	0.0	2	H	[55]
55	10	46991592.0	2	T	[56, 57, 54]
56	10	46991593.0	2	H	[57, 55]
57	10	48060267.0	2	T	[56, 58, 55]
58	10	48060268.0	2	H	[57, 59]
59	10	133785266.0	2	T	[58]
60	11	0.0	2	H	[61]
61	11	116012929.0	2	T	[60, 62, 63]
62	11	116012930.0	2	H	[64, 61, 63]
63	11	120316431.5	2	T	[64, 61, 62]
64	11	120316432.5	2	H	[65, 62, 63]
65	11	135069565.0	2	T	[64]
66	12	0	2	H	[67]
67	12	133263960	2	T	[66]
68	13	0.0	2	H	[69]
69	13	105337628.0	2	T	[68, 70, 71]
70	13	105337629.0	2	H	[69, 71]
71	13	114352102.0	2	T	[69, 70]
72	14	0	2	H	[73]
73	14	106873282	2	T	[72]
74	15	17050954.0	2	H	[75]
75	15	30767336.5	2	T	[74, 76, 77]
76	15	30767337.5	2	H	[75, 77, 78]
77	15	31638353.5	2	T	[75, 76, 78]
78	15	31638354.5	2	H	[76, 77, 79]
79	15	35531083.0	2	T	[80, 82, 78]
80	15	35542079.0	1	H	[81, 79]
81	15	43266426.0	1	T	[80, 82]
82	15	43266427	2	H	[81, 83, 79]
83	15	98842473.0	2	T	[82, 84]
84	15	98842474.0	3	H	[83, 85]
85	15	101744858.0	3	T	[84, 86]
86	15	101744859	2	H	[85, 87]
87	15	101976508	2	T	[86]
88	16	0.0	2	H	[89]
89	16	21500434.0	2	T	[88, 90, 91]
90	16	21500435.0	2	H	[89, 91]
91	16	22438802.0	2	T	[89, 90, 92]
92	16	22438803.0	2	H	[91, 93]
93	16	90224751.0	2	T	[92]
94	17	0	2	H	[95]
95	17	83246392	2	T	[94]
96	18	0	2	H	[97]
97	18	80256374	2	T	[96]
98	19	0	2	H	[99]
99	19	58605715	2	T	[98]
100	20	0	2	H	[101]
101	20	64333718	2	T	[100]
102	21	0	2	H	[103]
103	21	46697230	2	T	[102]
104	22	0	2	H	[105]
105	22	50805587	2	T	[104]
106	23	0	2	H	[107]
107	23	156025612	2	T	[106]
108	24	0	0	H	[109]
109	24	57212132	0	T	[108]
