file_name,cluster,n_origin_chr,origin_chr,n_path_karsim,n_path_omkar,total_alignment_cost,alignment_costs,event_chr,histories,n_events,is_event_cluster,n_path_diff,approximated_distance,n_approximated_edges,karsim_missed_transition,n_karsim_missed_transition,n_omkar_missed_transition,SV_missed,CNV_missed,log10_CNV_missed,n_dummies,n_leftover_dummies,n_seg_changed,n_leftover_segchange,n_significant_dummies,n_leftover_significant_dummies,dummy_distance,n_initial_SVs,preILP_similar_SV,n_preILP_similar_SV
23X_15q26_overgrowth_r1,0,1,['Chr1'],2,2,64203,"[41160, 23043]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{'deletion': 1},1,True,0,18117,2,[],0,0,0,33203,4.521177325408375,0,0,0,0,0,0,[],1,[],0
23X_15q26_overgrowth_r1,1,1,['Chr2'],2,2,188445274,"[188232388, 212886]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']","{'nonreciprocal translocation': 1, 'tandem duplication': 1, 'arm deletion': 1}",3,True,0,359628,4,[],0,0,0,333743,5.523412165478985,1,0,0,0,1,0,[147816312],0,[],0
23X_15q26_overgrowth_r1,10,1,['Chr11'],2,2,22574,"[15518, 7056]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{'inversion': 1},1,True,0,8462,4,[],0,0,0,22570,4.353531559077762,0,0,0,0,0,0,[],2,[],0
23X_15q26_overgrowth_r1,11,1,['Chr12'],2,2,2696,"[1348, 1348]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,2696,3.4307198878632823,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,12,1,['Chr13'],2,2,183591686,"[96303080, 87288606]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{'inversion': 1},1,True,0,0,0,"[('Chr13', 105338051, 'Chr13', 114354327)]",1,0,1,18032548,7.2560570968919045,0,0,0,0,0,0,[],1,"[('Chr13', 105337628, 'Chr13', 114352102)]",1
23X_15q26_overgrowth_r1,13,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,20870,4.319522449065454,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,14,1,['Chr15'],2,2,153408633,"[153366646, 41987]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']","{'tandem duplication': 1, 'nonreciprocal translocation': 1}",2,True,0,304715,7,[],0,2,2,2056105,6.313045289192995,0,0,0,0,0,0,[],2,[],0
23X_15q26_overgrowth_r1,15,1,['Chr16'],2,2,7186,"[3593, 3593]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,7186,3.8564872128686307,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,16,1,['Chr17'],2,2,2096,"[1048, 1048]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,2096,3.321391278311689,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,17,1,['Chr18'],2,2,13820,"[6910, 6910]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,13820,4.14050804303818,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,18,1,['Chr19'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,3800,3.57978359661681,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,19,1,['Chr20'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,896,2.9523080096621253,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,2,1,['Chr3'],2,2,16802,"[11840, 4962]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{'inversion': 1},1,True,0,6878,4,[],0,0,0,16798,4.225257576924099,0,0,0,0,0,0,[],2,[],0
23X_15q26_overgrowth_r1,20,1,['Chr21'],2,2,5504,"[2752, 2752]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,5504,3.740678425227455,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,21,1,['Chr22'],2,2,5760,"[2880, 2880]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,5760,3.760422483423212,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,22,1,['ChrX'],2,2,10564,"[5282, 5282]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,10564,4.023828392534886,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,3,1,['Chr4'],2,2,3980,"[1990, 1990]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,3980,3.5998830720736876,0,0,0,0,0,0,[],0,[],0
23X_15q26_overgrowth_r1,4,1,['Chr5'],2,2,61524,"[26876, 34648]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{'deletion': 1},1,True,0,16920,3,[],0,0,0,46640,4.668758541750957,0,0,0,0,0,0,[],1,[],0
23X_15q26_overgrowth_r1,5,1,['Chr6'],2,2,342136757,"[171450778, 170685979]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{'left duplication inversion': 1},1,True,0,8120,2,[],0,0,0,231932,5.365360673022002,0,0,2,0,0,0,[],1,[],0
23X_15q26_overgrowth_r1,6,1,['Chr7'],2,2,1976,"[988, 988]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0,0,0,[],0,0,0,1976,3.295786940251609,0,0,0,0,0,0,[],0,[],0
