0,23X_15q26_overgrowth_r1,0,1,[Chr1],2,2,64203,"[41160, 23043]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{'deletion': 1},0,18117,2,0,0,0,33203,4.521177,0,0,0,0,0,0,[],1
1,23X_15q26_overgrowth_r1,1,1,[Chr2],2,2,188445274,"[188232388, 212886]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]","{'nonreciprocal translocation': 1, 'tandem duplication': 1, 'arm deletion': 1}",0,7498,2,1,1,2,188445268,8.275185,1,0,0,0,1,0,[147816312],1
2,23X_15q26_overgrowth_r1,10,1,[Chr11],2,2,22574,"[15518, 7056]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{'inversion': 1},0,0,0,2,2,4,22570,4.353532,0,0,0,0,0,0,[],2
3,23X_15q26_overgrowth_r1,11,1,[Chr12],2,2,2696,"[1348, 1348]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{},0,0,0,0,0,0,2696,3.43072,0,0,0,0,0,0,[],0
4,23X_15q26_overgrowth_r1,12,1,[Chr13],2,2,183591686,"[96303080, 87288606]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{'inversion': 1},0,2650,2,1,0,1,5292,3.72362,0,0,0,0,0,0,[],2
5,23X_15q26_overgrowth_r1,13,1,[Chr14],2,2,20870,"[10435, 10435]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{},0,0,0,0,0,0,20870,4.319522,0,0,0,0,0,0,[],0
6,23X_15q26_overgrowth_r1,14,1,[Chr15],2,2,153408633,"[153366646, 41987]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]","{'tandem_duplication': 1, 'nonreciprocal translocation': 1}",0,10995,1,2,4,6,153408619,8.18585,1,0,0,0,1,0,[2902384],2
7,23X_15q26_overgrowth_r1,15,1,[Chr16],2,2,7186,"[3593, 3593]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{},0,0,0,0,0,0,7186,3.856487,0,0,0,0,0,0,[],0
8,23X_15q26_overgrowth_r1,16,1,[Chr17],2,2,2096,"[1048, 1048]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{},0,0,0,0,0,0,2096,3.321391,0,0,0,0,0,0,[],0
9,23X_15q26_overgrowth_r1,17,1,[Chr18],2,2,13820,"[6910, 6910]","[Chr1, Chr2, Chr3, Chr5, Chr6, Chr8, Chr11, Chr13, Chr15]",{},0,0,0,0,0,0,13820,4.140508,0,0,0,0,0,0,[],0
